Batch_ID,Line,Design,Resin_Supplier,Resin_kg,Powder_400_kg,Pigment_kg,Ambient_Temp_C,Mixer_Temp_C,True_Viscosity_cP,Dry_Mix_sec,Resin_Mix_sec,Powder_Mix_sec,Final_Mix_sec,Torque_Stab_sec,Dist_Time_sec,Press_Vac_85_99_sec,Press_Vib_sec,Total_Press_sec,System_Warning
BCH-9001,C1,Diana Gold,Astrix,174,432,51.0,25,28.7,650.0,180,130,130,180,185,205,30.5,60.5,125.5,
BCH-9002,C1,Diana Gold,Astrix,174,432,51.0,28,32.9,557.0,180,130,130,180,171,205,31.2,60.2,126.1,
BCH-9003,C1,Diana Gold,Astrix,174,432,51.0,30,34.5,482.9,180,130,130,180,161,205,29.8,61.0,124.9,
BCH-9004,C1,Diana Gold,Astrix,174,432,51.0,32,36.2,422.9,180,130,130,180,154,205,30.1,59.5,125.2,
BCH-9005,C1,Diana Gold,Astrix,174,432,51.0,35,38.3,365.0,180,130,130,180,146,205,31.0,60.0,125.8,
BCH-9006,C1,Diana Gold,Astrix,174,432,51.0,25,28.3,650.0,180,130,130,180,185,205,30.5,60.5,125.5,
BCH-9007,C1,Diana Gold,Astrix,174,432,51.0,28,31.1,557.0,180,130,130,180,171,205,31.2,60.2,126.1,
BCH-9008,C1,Diana Gold,Astrix,174,432,51.0,30,34.7,482.9,180,130,130,180,161,205,29.8,61.0,124.9,
BCH-9009,C1,Diana Gold,Astrix,174,432,51.0,32,36.2,422.9,180,130,130,180,154,205,30.1,59.5,125.2,
BCH-9010,C1,Diana Gold,Astrix,174,432,51.0,35,39.4,365.0,180,130,130,180,146,205,31.0,60.0,125.8,
BCH-9011,C1,Diana Gold,Astrix,174,432,51.0,25,28.0,650.0,180,130,130,180,185,205,30.5,60.5,125.5,
BCH-9012,C1,Diana Gold,Astrix,174,432,51.0,28,32.9,557.0,180,130,130,180,171,205,31.2,60.2,126.1,
BCH-9013,C1,Diana Gold,Astrix,174,432,51.0,30,34.7,482.9,180,130,130,180,161,205,29.8,61.0,124.9,
BCH-9014,C1,Diana Gold,Astrix,174,432,51.0,32,35.4,422.9,180,130,130,180,154,205,30.1,59.5,125.2,
BCH-9015,C1,Diana Gold,Astrix,174,432,51.0,35,38.4,365.0,180,130,130,180,146,205,31.0,60.0,125.8,
BCH-9016,A5 Line 1,Taj Terry,Ojaswi,169,424,12.8,25,28.4,549.3,180,120,130,200,178,220,132.5,92.3,332.7,
BCH-9017,A5 Line 1,Taj Terry,Ojaswi,169,424,12.8,28,31.6,469.7,180,120,130,200,169,220,131.4,92.4,351.6,
BCH-9018,A5 Line 1,Taj Terry,Ojaswi,169,424,12.8,30,34.0,413.7,180,120,130,200,163,220,129.5,92.5,337.3,
BCH-9019,A5 Line 1,Taj Terry,Ojaswi,169,424,12.8,32,35.9,366.8,180,120,130,200,159,220,131.0,92.7,376.4,
BCH-9020,A5 Line 1,Taj Terry,Ojaswi,169,424,12.8,35,38.6,315.8,180,120,130,200,150,220,131.8,92.0,340.3,
BCH-9021,A5 Line 1,Taj Terry,Ojaswi,169,424,12.8,25,29.2,549.3,180,120,130,200,178,220,132.5,92.3,332.7,
BCH-9022,A5 Line 1,Taj Terry,Ojaswi,169,424,12.8,28,31.3,469.7,180,120,130,200,169,220,131.4,92.4,351.6,
BCH-9023,A5 Line 1,Taj Terry,Ojaswi,169,424,12.8,30,33.6,413.7,180,120,130,200,163,220,129.5,92.5,337.3,
BCH-9024,A5 Line 1,Taj Terry,Ojaswi,169,424,12.8,32,35.7,366.8,180,120,130,200,159,220,131.0,92.7,376.4,
BCH-9025,A5 Line 1,Taj Terry,Ojaswi,169,424,12.8,35,38.9,315.8,180,120,130,200,150,220,131.8,92.0,340.3,
BCH-9026,A5 Line 1,Taj Terry,Ojaswi,169,424,12.8,25,29.6,549.3,180,120,130,200,178,220,132.5,92.3,332.7,
BCH-9027,A5 Line 1,Taj Terry,Ojaswi,169,424,12.8,28,31.4,469.7,180,120,130,200,169,220,131.4,92.4,351.6,
BCH-9028,A5 Line 1,Taj Terry,Ojaswi,169,424,12.8,30,34.0,413.7,180,120,130,200,163,220,129.5,92.5,337.3,
BCH-9029,A5 Line 1,Taj Terry,Ojaswi,169,424,12.8,32,36.2,366.8,180,120,130,200,159,220,131.0,92.7,376.4,
BCH-9030,A5 Line 1,Taj Terry,Ojaswi,169,424,12.8,35,38.1,315.8,180,120,130,200,150,220,131.8,92.0,340.3,
BCH-9031,C1,Crystal Bliss,Orson,188,496,15.3,25,29.2,448.7,200,190,330,170,172,210,129.2,98.6,323.6,VACUUM LIMIT EXCEEDED
BCH-9032,C1,Crystal Bliss,Orson,188,496,15.3,28,31.3,382.5,200,190,330,170,166,210,129.3,103.7,322.5,VACUUM LIMIT EXCEEDED
BCH-9033,C1,Crystal Bliss,Orson,188,496,15.3,30,33.1,344.5,200,190,330,170,160,210,131.5,93.9,325.8,VACUUM LIMIT EXCEEDED
BCH-9034,C1,Crystal Bliss,Orson,188,496,15.3,32,36.9,310.7,200,190,330,170,156,210,131.2,93.9,324.5,VACUUM LIMIT EXCEEDED
BCH-9035,C1,Crystal Bliss,Orson,188,496,15.3,35,39.9,266.7,200,190,330,170,148,210,128.5,96.5,321.0,VACUUM LIMIT EXCEEDED
BCH-9036,C1,Crystal Bliss,Orson,188,496,15.3,25,29.6,448.7,200,190,330,170,172,210,129.2,98.6,323.6,VACUUM LIMIT EXCEEDED
BCH-9037,C1,Crystal Bliss,Orson,188,496,15.3,28,31.6,382.5,200,190,330,170,166,210,129.3,103.7,322.5,VACUUM LIMIT EXCEEDED
BCH-9038,C1,Crystal Bliss,Orson,188,496,15.3,30,33.2,344.5,200,190,330,170,160,210,131.5,93.9,325.8,VACUUM LIMIT EXCEEDED
BCH-9039,C1,Crystal Bliss,Orson,188,496,15.3,32,36.4,310.7,200,190,330,170,156,210,131.2,93.9,324.5,VACUUM LIMIT EXCEEDED
BCH-9040,C1,Crystal Bliss,Orson,188,496,15.3,35,38.9,266.7,200,190,330,170,148,210,128.5,96.5,321.0,VACUUM LIMIT EXCEEDED
BCH-9041,C1,Crystal Bliss,Orson,188,496,15.3,25,28.2,448.7,200,190,330,170,172,210,129.2,98.6,323.6,VACUUM LIMIT EXCEEDED
BCH-9042,C1,Crystal Bliss,Orson,188,496,15.3,28,32.0,382.5,200,190,330,170,166,210,129.3,103.7,322.5,VACUUM LIMIT EXCEEDED
BCH-9043,C1,Crystal Bliss,Orson,188,496,15.3,30,33.1,344.5,200,190,330,170,160,210,131.5,93.9,325.8,VACUUM LIMIT EXCEEDED
BCH-9044,C1,Crystal Bliss,Orson,188,496,15.3,32,36.8,310.7,200,190,330,170,156,210,131.2,93.9,324.5,VACUUM LIMIT EXCEEDED
BCH-9045,C1,Crystal Bliss,Orson,188,496,15.3,35,38.5,266.7,200,190,330,170,148,210,128.5,96.5,321.0,VACUUM LIMIT EXCEEDED
BCH-9046,C1,Noah,Ojaswi,27,77,23.0,25,29.3,549.3,163,172,225,203,170,180,33.1,41.5,129.9,
BCH-9047,C1,Noah,Ojaswi,27,77,23.0,28,31.6,469.7,163,172,225,203,164,180,29.6,52.6,113.0,
BCH-9048,C1,Noah,Ojaswi,27,77,23.0,30,34.0,413.7,163,172,225,203,158,180,30.5,41.8,124.4,
BCH-9049,C1,Noah,Ojaswi,27,77,23.0,32,36.1,366.8,163,172,225,203,154,180,29.7,42.1,149.6,
